Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status
P3;Ordem de Produção (Embutidos) Premix - Bello Eldorado;BELLO.PPE.0175.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Embutidos) Produto Acabado - Bello Balsa Nova;BELLO.PPE.0176.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Embutidos) Produto Acabado - Bello Eldorado;BELLO.PPE.0169.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Fabrica de Ração) - Bello AP. do Taboado;BELLO.PPE.0171.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Fabrica de Ração) - Bello Itaquirai;BELLO.PPE.0174.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (FFO) Propria - Bello Itaquirai;BELLO.PPE.0160.V5;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção Frango Vivo - Bello Ap do Taboado;BELLO.PPE.0180.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção Frango Vivo - Bello Itaquiraí;BELLO.PPE.0178.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Frigorifico) Ordem Processo - Bello Ap. do Taboado;BELLO.PPE.0167.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Frigorifico) Ordem Processo - Bello Ap do Taboado Peixe;BELLO.PPE.0164.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Frigorifico) Ordem Processo - Bello Itaporã;BELLO.PPE.0170.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Frigorifico) Ordem Processo - Bello Itaquirai;BELLO.PPE.0162.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Realizar Fechamento de Custos;BELLO.PPE.0055.V6;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Relatórios de Verificação de Custos;BELLO.PPE.0053.V6;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P4;Contabilização de Custos;PLUMA_AGRO.PPE.0058.V6;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P4;Contabilização de Custos;PLUSVAL.PPE.0057.V6;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P4;Contabilização de Custos;PLUMA_GEN.PPE.0017.V6;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P4;Contabilização de Custos;GPL_TRADING.PPE.0007.V6;Planejamento de Produção ao Estoque;GPL TRADING IMPORTACAO E EXPORTACAO LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P4;Contabilização de Custos;DF_AVES.PPE.0009.V6;Planejamento de Produção ao Estoque;DF AVES LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P4;Contabilização de Custos;DOURAMIX.PPE.0009.V6;Planejamento de Produção ao Estoque;RACOES DOURAMIX LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P4;Contabilização de Custos;COPRIMAR.PPE.0010.V6;Planejamento de Produção ao Estoque;COPRIMAR COMERCIO DE PESCADOS E FRUTOS DO MAR LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P4;Custo Gerencial Frango Vivo;PLUSVAL.PPE.0155.V3;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P4;Custo Gerencial Frango Vivo;PLUMA_AGRO.PPE.0336.V3;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P4;Indice de absorção da carne Frigorifico Brazlandia;DF_AVES.PPE.0013.V3;Planejamento de Produção ao Estoque;DF AVES LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P4;Indice de absorção da carne Frigorifico Ipora;PLUSVAL.PPE.0157.V3;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
